Link2Space track file / LorettOrbital 0.0.4
StationName: l2s
Station Position: 55.397	55.397	130
Satellite: FENGYUN 3B
Start date & time: 2022-03-09   03:00:22 UTC
Orbit: 58677
Time(UTC)		Azimuth(d)	Elevation(d) X(m)		Y(m)

03:00:22   004:38   054:59
03:00:23   004:25   055:24
03:00:24   004:11   055:48
03:00:25   003:57   056:13
03:00:26   003:43   056:38
03:00:27   003:28   057:03
03:00:28   003:13   057:28
03:00:29   002:57   057:53
03:00:30   002:40   058:19
03:00:31   002:24   058:44
03:00:32   002:06   059:10
03:00:33   001:48   059:36
03:00:34   001:29   060:02
03:00:35   001:10   060:28
03:00:36   000:50   060:54
03:00:37   000:29   061:21
03:00:38   000:07   061:47
03:00:39   359:45   062:14
03:00:40   359:22   062:41
03:00:41   358:58   063:08
03:00:42   358:33   063:35
03:00:43   358:07   064:02
03:00:44   357:40   064:29
03:00:45   357:12   064:56
03:00:46   356:42   065:24
03:00:47   356:12   065:51
03:00:48   355:40   066:19
03:00:49   355:06   066:46
03:00:50   354:32   067:14
03:00:51   353:55   067:41
03:00:52   353:17   068:09
03:00:53   352:37   068:36
03:00:54   351:56   069:04
03:00:55   351:12   069:31
03:00:56   350:26   069:59
03:00:57   349:37   070:26
03:00:58   348:47   070:54
03:00:59   347:53   071:21
03:01:00   346:57   071:48
03:01:01   345:58   072:15
03:01:02   344:55   072:41
03:01:03   343:49   073:08
03:01:04   342:39   073:34
03:01:05   341:26   073:59
03:01:06   340:08   074:25
03:01:07   338:45   074:50
03:01:08   337:18   075:15
03:01:09   335:45   075:39
03:01:10   334:07   076:02
03:01:11   332:24   076:25
03:01:12   330:34   076:47
03:01:13   328:38   077:09
03:01:14   326:35   077:29
03:01:15   324:25   077:49
03:01:16   322:08   078:07
03:01:17   319:43   078:25
03:01:18   317:11   078:41
03:01:19   314:32   078:56
03:01:20   311:46   079:09
03:01:21   308:53   079:21
03:01:22   305:54   079:31
03:01:23   302:49   079:40
03:01:24   299:40   079:47
03:01:25   296:27   079:51
03:01:26   293:11   079:54
03:01:27   289:54   079:55
03:01:28   286:37   079:54
03:01:29   283:21   079:52
03:01:30   280:08   079:47
03:01:31   276:58   079:40
03:01:32   273:53   079:32
03:01:33   270:54   079:21
03:01:34   268:01   079:10
03:01:35   265:14   078:56
03:01:36   262:35   078:41
03:01:37   260:03   078:25
03:01:38   257:38   078:08
03:01:39   255:21   077:49
03:01:40   253:11   077:29
03:01:41   251:07   077:09
03:01:42   249:11   076:47
03:01:43   247:21   076:25
03:01:44   245:37   076:02
03:01:45   243:59   075:39
03:01:46   242:26   075:15
03:01:47   240:58   074:50
03:01:48   239:36   074:25
03:01:49   238:18   073:59
03:01:50   237:04   073:34
03:01:51   235:54   073:07
03:01:52   234:48   072:41
03:01:53   233:45   072:14
03:01:54   232:46   071:47
03:01:55   231:49   071:20
03:01:56   230:56   070:53
03:01:57   230:05   070:26
03:01:58   229:16   069:58
03:01:59   228:30   069:31
03:02:00   227:46   069:03
03:02:01   227:05   068:35
03:02:02   226:25   068:08
03:02:03   225:46   067:40
03:02:04   225:10   067:12
03:02:05   224:35   066:45
03:02:06   224:02   066:17
03:02:07   223:30   065:49
03:02:08   222:59   065:22
03:02:09   222:30   064:54
03:02:10   222:01   064:27
03:02:11   221:34   064:00
03:02:12   221:08   063:33
03:02:13   220:43   063:05
03:02:14   220:19   062:38
03:02:15   219:56   062:11
03:02:16   219:34   061:45
03:02:17   219:12   061:18
03:02:18   218:51   060:51
03:02:19   218:31   060:25
03:02:20   218:12   059:59
03:02:21   217:53   059:33
03:02:22   217:35   059:07
03:02:23   217:17   058:41
03:02:24   217:00   058:15
03:02:25   216:44   057:49
03:02:26   216:28   057:24
03:02:27   216:13   056:59
03:02:28   215:58   056:34
03:02:29   215:43   056:09
03:02:30   215:29   055:44
