Link2Space track file / LorettOrbital 0.0.4
StationName: r8s
Station Position: 55.397	55.397	130
Satellite: FENGYUN 3C
Start date & time: 2022-03-07   06:00:32 UTC
Orbit: 43745
Time(UTC)		Azimuth(d)	Elevation(d) X(m)		Y(m)

06:00:32   349:30   015:00
06:00:33   349:20   015:04
06:00:34   349:11   015:09
06:00:35   349:01   015:14
06:00:36   348:51   015:19
06:00:37   348:41   015:24
06:00:38   348:31   015:29
06:00:39   348:21   015:34
06:00:40   348:10   015:39
06:00:41   348:00   015:44
06:00:42   347:50   015:49
06:00:43   347:40   015:54
06:00:44   347:29   015:58
06:00:45   347:19   016:03
06:00:46   347:08   016:08
06:00:47   346:57   016:13
06:00:48   346:47   016:18
06:00:49   346:36   016:23
06:00:50   346:25   016:28
06:00:51   346:14   016:33
06:00:52   346:04   016:38
06:00:53   345:53   016:43
06:00:54   345:41   016:48
06:00:55   345:30   016:53
06:00:56   345:19   016:58
06:00:57   345:08   017:03
06:00:58   344:57   017:08
06:00:59   344:45   017:13
06:01:00   344:34   017:18
06:01:01   344:22   017:23
06:01:02   344:11   017:27
06:01:03   343:59   017:32
06:01:04   343:47   017:37
06:01:05   343:35   017:42
06:01:06   343:24   017:47
06:01:07   343:12   017:52
06:01:08   343:00   017:57
06:01:09   342:48   018:02
06:01:10   342:35   018:07
06:01:11   342:23   018:12
06:01:12   342:11   018:17
06:01:13   341:59   018:22
06:01:14   341:46   018:27
06:01:15   341:34   018:32
06:01:16   341:21   018:37
06:01:17   341:08   018:41
06:01:18   340:56   018:46
06:01:19   340:43   018:51
06:01:20   340:30   018:56
06:01:21   340:17   019:01
06:01:22   340:04   019:06
06:01:23   339:51   019:11
06:01:24   339:38   019:16
06:01:25   339:25   019:20
06:01:26   339:11   019:25
06:01:27   338:58   019:30
06:01:28   338:44   019:35
06:01:29   338:31   019:40
06:01:30   338:17   019:45
06:01:31   338:04   019:49
06:01:32   337:50   019:54
06:01:33   337:36   019:59
06:01:34   337:22   020:04
06:01:35   337:08   020:08
06:01:36   336:54   020:13
06:01:37   336:40   020:18
06:01:38   336:26   020:23
06:01:39   336:11   020:27
06:01:40   335:57   020:32
06:01:41   335:42   020:37
06:01:42   335:28   020:41
06:01:43   335:13   020:46
06:01:44   334:58   020:51
06:01:45   334:44   020:55
06:01:46   334:29   021:00
