Link2Space track file / LorettOrbital 0.0.4
StationName: l2s
Station Position: 55.397	55.397	130
Satellite: METEOR-M 2
Start date & time: 2022-03-07   03:45:22 UTC
Orbit: 39733
Time(UTC)		Azimuth(d)	Elevation(d) X(m)		Y(m)

03:45:22   050:13   055:00
03:45:23   050:46   055:21
03:45:24   051:19   055:42
03:45:25   051:53   056:03
03:45:26   052:28   056:23
03:45:27   053:04   056:44
03:45:28   053:41   057:05
03:45:29   054:19   057:26
03:45:30   054:58   057:47
03:45:31   055:38   058:08
03:45:32   056:19   058:28
03:45:33   057:01   058:49
03:45:34   057:44   059:09
03:45:35   058:28   059:29
03:45:36   059:13   059:49
03:45:37   060:00   060:09
03:45:38   060:48   060:29
03:45:39   061:37   060:49
03:45:40   062:27   061:08
03:45:41   063:19   061:27
03:45:42   064:11   061:46
03:45:43   065:06   062:05
03:45:44   066:01   062:23
03:45:45   066:59   062:41
03:45:46   067:57   062:59
03:45:47   068:57   063:16
03:45:48   069:59   063:33
03:45:49   071:01   063:50
03:45:50   072:06   064:06
03:45:51   073:12   064:22
03:45:52   074:19   064:37
03:45:53   075:28   064:52
03:45:54   076:39   065:06
03:45:55   077:51   065:20
03:45:56   079:04   065:33
03:45:57   080:19   065:46
03:45:58   081:36   065:58
03:45:59   082:53   066:09
03:46:00   084:12   066:20
03:46:01   085:33   066:30
03:46:02   086:54   066:40
03:46:03   088:17   066:49
03:46:04   089:41   066:57
03:46:05   091:06   067:04
03:46:06   092:32   067:11
03:46:07   093:59   067:16
03:46:08   095:26   067:21
03:46:09   096:55   067:26
03:46:10   098:23   067:29
03:46:11   099:52   067:32
03:46:12   101:22   067:33
03:46:13   102:52   067:34
03:46:14   104:21   067:34
03:46:15   105:51   067:33
03:46:16   107:20   067:32
03:46:17   108:50   067:29
03:46:18   110:19   067:26
03:46:19   111:47   067:22
03:46:20   113:15   067:17
03:46:21   114:41   067:12
03:46:22   116:08   067:05
03:46:23   117:33   066:58
03:46:24   118:57   066:50
03:46:25   120:20   066:41
03:46:26   121:42   066:32
03:46:27   123:03   066:22
03:46:28   124:22   066:11
03:46:29   125:40   066:00
03:46:30   126:57   065:48
03:46:31   128:12   065:35
03:46:32   129:26   065:22
03:46:33   130:38   065:08
03:46:34   131:49   064:54
03:46:35   132:58   064:39
03:46:36   134:06   064:24
03:46:37   135:12   064:08
03:46:38   136:17   063:52
03:46:39   137:20   063:35
03:46:40   138:22   063:18
03:46:41   139:22   063:01
03:46:42   140:21   062:43
03:46:43   141:19   062:25
03:46:44   142:15   062:07
03:46:45   143:09   061:48
03:46:46   144:02   061:29
03:46:47   144:54   061:10
03:46:48   145:45   060:50
03:46:49   146:34   060:31
03:46:50   147:22   060:11
03:46:51   148:09   059:51
03:46:52   148:55   059:31
03:46:53   149:39   059:11
03:46:54   150:22   058:50
03:46:55   151:05   058:30
03:46:56   151:46   058:09
03:46:57   152:26   057:48
03:46:58   153:05   057:27
03:46:59   153:43   057:07
03:47:00   154:20   056:46
03:47:01   154:56   056:25
03:47:02   155:32   056:03
03:47:03   156:06   055:42
03:47:04   156:40   055:21
