Link2Space track file / LorettOrbital 0.0.4
StationName: r8s
Station Position: 55.397	55.397	130
Satellite: METEOR-M2 2
Start date & time: 2022-03-08   22:57:15 UTC
Orbit: 13910
Time(UTC)		Azimuth(d)	Elevation(d) X(m)		Y(m)

22:57:15   041:00   015:00
22:57:16   041:09   015:05
22:57:17   041:18   015:10
22:57:18   041:27   015:16
22:57:19   041:36   015:21
22:57:20   041:45   015:27
22:57:21   041:55   015:32
22:57:22   042:04   015:38
22:57:23   042:14   015:43
22:57:24   042:23   015:49
22:57:25   042:33   015:54
22:57:26   042:42   016:00
22:57:27   042:52   016:05
22:57:28   043:02   016:11
22:57:29   043:12   016:17
22:57:30   043:22   016:22
22:57:31   043:31   016:28
22:57:32   043:41   016:33
22:57:33   043:52   016:39
22:57:34   044:02   016:45
22:57:35   044:12   016:50
22:57:36   044:22   016:56
22:57:37   044:33   017:02
22:57:38   044:43   017:07
22:57:39   044:54   017:13
22:57:40   045:04   017:19
22:57:41   045:15   017:24
22:57:42   045:25   017:30
22:57:43   045:36   017:36
22:57:44   045:47   017:42
22:57:45   045:58   017:47
22:57:46   046:09   017:53
22:57:47   046:20   017:59
22:57:48   046:31   018:05
22:57:49   046:42   018:11
22:57:50   046:54   018:16
22:57:51   047:05   018:22
22:57:52   047:16   018:28
22:57:53   047:28   018:34
22:57:54   047:40   018:40
22:57:55   047:51   018:45
22:57:56   048:03   018:51
22:57:57   048:15   018:57
22:57:58   048:27   019:03
22:57:59   048:39   019:09
22:58:00   048:51   019:15
22:58:01   049:03   019:21
22:58:02   049:15   019:27
22:58:03   049:27   019:32
22:58:04   049:40   019:38
22:58:05   049:52   019:44
22:58:06   050:05   019:50
22:58:07   050:17   019:56
22:58:08   050:30   020:02
22:58:09   050:43   020:08
22:58:10   050:56   020:14
22:58:11   051:09   020:20
22:58:12   051:22   020:26
22:58:13   051:35   020:32
22:58:14   051:48   020:38
22:58:15   052:02   020:43
22:58:16   052:15   020:49
22:58:17   052:29   020:55
22:58:18   052:42   021:01
22:58:19   052:56   021:07
22:58:20   053:10   021:13
22:58:21   053:24   021:19
22:58:22   053:38   021:25
22:58:23   053:52   021:31
22:58:24   054:06   021:37
22:58:25   054:20   021:43
22:58:26   054:35   021:49
22:58:27   054:49   021:55
22:58:28   055:03   022:01
22:58:29   055:18   022:07
22:58:30   055:33   022:12
22:58:31   055:48   022:18
22:58:32   056:03   022:24
22:58:33   056:18   022:30
22:58:34   056:33   022:36
22:58:35   056:48   022:42
22:58:36   057:03   022:48
22:58:37   057:19   022:54
22:58:38   057:34   023:00
22:58:39   057:50   023:05
22:58:40   058:06   023:11
22:58:41   058:22   023:17
22:58:42   058:37   023:23
22:58:43   058:54   023:29
22:58:44   059:10   023:34
22:58:45   059:26   023:40
22:58:46   059:42   023:46
22:58:47   059:59   023:52
22:58:48   060:15   023:57
22:58:49   060:32   024:03
22:58:50   060:49   024:09
22:58:51   061:06   024:15
22:58:52   061:23   024:20
22:58:53   061:40   024:26
22:58:54   061:57   024:31
22:58:55   062:14   024:37
22:58:56   062:32   024:43
22:58:57   062:49   024:48
22:58:58   063:07   024:54
22:58:59   063:24   024:59
22:59:00   063:42   025:05
22:59:01   064:00   025:10
22:59:02   064:18   025:16
22:59:03   064:36   025:21
22:59:04   064:55   025:26
22:59:05   065:13   025:32
22:59:06   065:31   025:37
22:59:07   065:50   025:42
22:59:08   066:09   025:47
22:59:09   066:28   025:53
22:59:10   066:46   025:58
22:59:11   067:05   026:03
22:59:12   067:25   026:08
22:59:13   067:44   026:13
22:59:14   068:03   026:18
22:59:15   068:23   026:23
22:59:16   068:42   026:28
22:59:17   069:02   026:33
22:59:18   069:22   026:38
22:59:19   069:41   026:43
22:59:20   070:01   026:48
22:59:21   070:21   026:52
22:59:22   070:42   026:57
22:59:23   071:02   027:02
22:59:24   071:22   027:06
22:59:25   071:43   027:11
22:59:26   072:03   027:15
22:59:27   072:24   027:20
22:59:28   072:45   027:24
22:59:29   073:06   027:29
22:59:30   073:27   027:33
22:59:31   073:48   027:37
22:59:32   074:09   027:42
22:59:33   074:30   027:46
22:59:34   074:51   027:50
22:59:35   075:13   027:54
22:59:36   075:34   027:58
22:59:37   075:56   028:02
22:59:38   076:18   028:06
22:59:39   076:39   028:09
22:59:40   077:01   028:13
22:59:41   077:23   028:17
22:59:42   077:45   028:20
22:59:43   078:08   028:24
22:59:44   078:30   028:27
22:59:45   078:52   028:31
22:59:46   079:15   028:34
22:59:47   079:37   028:37
22:59:48   080:00   028:41
22:59:49   080:22   028:44
22:59:50   080:45   028:47
22:59:51   081:08   028:50
22:59:52   081:31   028:53
22:59:53   081:54   028:56
22:59:54   082:17   028:58
22:59:55   082:40   029:01
22:59:56   083:03   029:04
22:59:57   083:26   029:06
22:59:58   083:49   029:09
22:59:59   084:13   029:11
23:00:00   084:36   029:13
23:00:01   084:59   029:16
23:00:02   085:23   029:18
23:00:03   085:46   029:20
23:00:04   086:10   029:22
23:00:05   086:34   029:24
23:00:06   086:57   029:25
23:00:07   087:21   029:27
23:00:08   087:45   029:29
23:00:09   088:09   029:30
23:00:10   088:33   029:32
23:00:11   088:57   029:33
23:00:12   089:21   029:35
23:00:13   089:45   029:36
23:00:14   090:09   029:37
23:00:15   090:33   029:38
23:00:16   090:57   029:39
23:00:17   091:21   029:40
23:00:18   091:45   029:41
23:00:19   092:09   029:41
23:00:20   092:33   029:42
23:00:21   092:57   029:42
23:00:22   093:21   029:43
23:00:23   093:46   029:43
23:00:24   094:10   029:43
23:00:25   094:34   029:44
23:00:26   094:58   029:44
23:00:27   095:22   029:44
23:00:28   095:47   029:44
23:00:29   096:11   029:43
23:00:30   096:35   029:43
23:00:31   096:59   029:43
23:00:32   097:23   029:42
23:00:33   097:48   029:42
23:00:34   098:12   029:41
23:00:35   098:36   029:40
23:00:36   099:00   029:40
23:00:37   099:24   029:39
23:00:38   099:48   029:38
23:00:39   100:12   029:37
23:00:40   100:36   029:35
23:00:41   101:00   029:34
23:00:42   101:24   029:33
23:00:43   101:48   029:31
23:00:44   102:12   029:30
23:00:45   102:36   029:28
23:00:46   103:00   029:27
23:00:47   103:23   029:25
23:00:48   103:47   029:23
23:00:49   104:11   029:21
23:00:50   104:34   029:19
23:00:51   104:58   029:17
23:00:52   105:22   029:15
23:00:53   105:45   029:13
23:00:54   106:08   029:10
23:00:55   106:32   029:08
23:00:56   106:55   029:05
23:00:57   107:18   029:03
23:00:58   107:42   029:00
23:00:59   108:05   028:57
23:01:00   108:28   028:55
23:01:01   108:51   028:52
23:01:02   109:14   028:49
23:01:03   109:36   028:46
23:01:04   109:59   028:43
23:01:05   110:22   028:40
23:01:06   110:44   028:36
23:01:07   111:07   028:33
23:01:08   111:29   028:30
23:01:09   111:52   028:26
23:01:10   112:14   028:23
23:01:11   112:36   028:19
23:01:12   112:58   028:15
23:01:13   113:20   028:12
23:01:14   113:42   028:08
23:01:15   114:04   028:04
23:01:16   114:26   028:00
23:01:17   114:48   027:56
23:01:18   115:09   027:52
23:01:19   115:31   027:48
23:01:20   115:52   027:44
23:01:21   116:13   027:40
23:01:22   116:35   027:36
23:01:23   116:56   027:31
23:01:24   117:17   027:27
23:01:25   117:38   027:23
23:01:26   117:58   027:18
23:01:27   118:19   027:14
23:01:28   118:40   027:09
23:01:29   119:00   027:04
23:01:30   119:21   027:00
23:01:31   119:41   026:55
23:01:32   120:01   026:50
23:01:33   120:21   026:46
23:01:34   120:41   026:41
23:01:35   121:01   026:36
23:01:36   121:21   026:31
23:01:37   121:41   026:26
23:01:38   122:00   026:21
23:01:39   122:20   026:16
23:01:40   122:39   026:11
23:01:41   122:58   026:06
23:01:42   123:18   026:01
23:01:43   123:37   025:55
23:01:44   123:56   025:50
23:01:45   124:14   025:45
23:01:46   124:33   025:40
23:01:47   124:52   025:34
23:01:48   125:10   025:29
23:01:49   125:29   025:23
23:01:50   125:47   025:18
23:01:51   126:05   025:13
23:01:52   126:23   025:07
23:01:53   126:41   025:02
23:01:54   126:59   024:56
23:01:55   127:17   024:51
23:01:56   127:35   024:45
23:01:57   127:52   024:39
23:01:58   128:10   024:34
23:01:59   128:27   024:28
23:02:00   128:44   024:22
23:02:01   129:01   024:17
23:02:02   129:18   024:11
23:02:03   129:35   024:05
23:02:04   129:52   024:00
23:02:05   130:09   023:54
23:02:06   130:25   023:48
23:02:07   130:42   023:42
23:02:08   130:58   023:36
23:02:09   131:15   023:31
23:02:10   131:31   023:25
23:02:11   131:47   023:19
23:02:12   132:03   023:13
23:02:13   132:19   023:07
23:02:14   132:35   023:01
23:02:15   132:50   022:55
23:02:16   133:06   022:49
23:02:17   133:21   022:44
23:02:18   133:37   022:38
23:02:19   133:52   022:32
23:02:20   134:07   022:26
23:02:21   134:22   022:20
23:02:22   134:37   022:14
23:02:23   134:52   022:08
23:02:24   135:07   022:02
23:02:25   135:21   021:56
23:02:26   135:36   021:50
23:02:27   135:50   021:44
23:02:28   136:05   021:38
23:02:29   136:19   021:32
23:02:30   136:33   021:26
23:02:31   136:47   021:20
23:02:32   137:01   021:14
23:02:33   137:15   021:08
23:02:34   137:29   021:02
23:02:35   137:43   020:56
23:02:36   137:57   020:50
23:02:37   138:10   020:44
23:02:38   138:24   020:38
23:02:39   138:37   020:32
23:02:40   138:50   020:26
23:02:41   139:03   020:20
23:02:42   139:16   020:14
23:02:43   139:29   020:08
23:02:44   139:42   020:02
23:02:45   139:55   019:56
23:02:46   140:08   019:50
23:02:47   140:21   019:44
23:02:48   140:33   019:38
23:02:49   140:46   019:32
23:02:50   140:58   019:26
23:02:51   141:10   019:21
23:02:52   141:23   019:15
23:02:53   141:35   019:09
23:02:54   141:47   019:03
23:02:55   141:59   018:57
23:02:56   142:11   018:51
23:02:57   142:23   018:45
23:02:58   142:34   018:39
23:02:59   142:46   018:33
23:03:00   142:58   018:27
23:03:01   143:09   018:21
23:03:02   143:21   018:16
23:03:03   143:32   018:10
23:03:04   143:43   018:04
23:03:05   143:55   017:58
23:03:06   144:06   017:52
23:03:07   144:17   017:46
