R8S track file / LorettOrbital 0.0.4
StationName: r8s
Station Position: 55.397° 55.397° 130km
Satellite: METEOR-M2 2
Start date & time: 2022-04-04   10:30:05 UTC
Orbit: 14287
Time (UTC)   Azimuth (deg)   Elevation (deg)

10:30:05   172.33   15.00
10:30:06   172.37   15.11
10:30:07   172.41   15.23
10:30:08   172.45   15.35
10:30:09   172.49   15.46
10:30:10   172.53   15.58
10:30:11   172.56   15.70
10:30:12   172.60   15.82
10:30:13   172.64   15.94
10:30:14   172.68   16.06
10:30:15   172.72   16.18
10:30:16   172.76   16.30
10:30:17   172.81   16.42
10:30:18   172.85   16.54
10:30:19   172.89   16.67
10:30:20   172.93   16.79
10:30:21   172.97   16.91
10:30:22   173.02   17.04
10:30:23   173.06   17.17
10:30:24   173.10   17.29
10:30:25   173.15   17.42
10:30:26   173.19   17.55
10:30:27   173.23   17.68
10:30:28   173.28   17.81
10:30:29   173.32   17.94
10:30:30   173.37   18.07
10:30:31   173.42   18.20
10:30:32   173.46   18.33
10:30:33   173.51   18.47
10:30:34   173.56   18.60
10:30:35   173.60   18.74
10:30:36   173.65   18.87
10:30:37   173.70   19.01
10:30:38   173.75   19.15
10:30:39   173.80   19.29
10:30:40   173.85   19.43
10:30:41   173.90   19.57
10:30:42   173.95   19.71
10:30:43   174.00   19.85
10:30:44   174.05   19.99
10:30:45   174.11   20.14
10:30:46   174.16   20.28
10:30:47   174.21   20.43
10:30:48   174.26   20.57
10:30:49   174.32   20.72
10:30:50   174.37   20.87
10:30:51   174.43   21.02
10:30:52   174.48   21.17
10:30:53   174.54   21.32
10:30:54   174.60   21.47
10:30:55   174.66   21.62
10:30:56   174.71   21.78
10:30:57   174.77   21.93
10:30:58   174.83   22.09
10:30:59   174.89   22.25
10:31:00   174.95   22.40
10:31:01   175.01   22.56
10:31:02   175.07   22.72
10:31:03   175.14   22.89
10:31:04   175.20   23.05
10:31:05   175.26   23.21
10:31:06   175.33   23.38
10:31:07   175.39   23.54
10:31:08   175.46   23.71
10:31:09   175.52   23.88
10:31:10   175.59   24.05
10:31:11   175.66   24.22
10:31:12   175.73   24.39
10:31:13   175.80   24.56
10:31:14   175.87   24.74
10:31:15   175.94   24.91
10:31:16   176.01   25.09
10:31:17   176.08   25.27
10:31:18   176.15   25.45
10:31:19   176.23   25.63
10:31:20   176.30   25.81
10:31:21   176.38   25.99
10:31:22   176.46   26.18
10:31:23   176.53   26.36
10:31:24   176.61   26.55
10:31:25   176.69   26.74
10:31:26   176.77   26.93
10:31:27   176.85   27.12
10:31:28   176.94   27.31
10:31:29   177.02   27.51
10:31:30   177.10   27.70
10:31:31   177.19   27.90
10:31:32   177.28   28.10
10:31:33   177.36   28.30
10:31:34   177.45   28.50
10:31:35   177.54   28.70
10:31:36   177.63   28.91
10:31:37   177.72   29.11
10:31:38   177.82   29.32
10:31:39   177.91   29.53
10:31:40   178.01   29.74
10:31:41   178.10   29.95
10:31:42   178.20   30.17
10:31:43   178.30   30.38
10:31:44   178.40   30.60
10:31:45   178.51   30.82
10:31:46   178.61   31.04
10:31:47   178.71   31.27
10:31:48   178.82   31.49
10:31:49   178.93   31.72
10:31:50   179.04   31.94
10:31:51   179.15   32.17
10:31:52   179.26   32.41
10:31:53   179.38   32.64
10:31:54   179.49   32.87
10:31:55   179.61   33.11
10:31:56   179.73   33.35
10:31:57   179.85   33.59
10:31:58   179.97   33.83
10:31:59   180.10   34.08
10:32:00   180.23   34.33
10:32:01   180.35   34.57
10:32:02   180.49   34.82
10:32:03   180.62   35.08
10:32:04   180.75   35.33
10:32:05   180.89   35.59
10:32:06   181.03   35.85
10:32:07   181.17   36.11
10:32:08   181.31   36.37
10:32:09   181.46   36.64
10:32:10   181.61   36.90
10:32:11   181.76   37.17
10:32:12   181.91   37.44
10:32:13   182.07   37.72
10:32:14   182.23   37.99
10:32:15   182.39   38.27
10:32:16   182.55   38.55
10:32:17   182.72   38.83
10:32:18   182.89   39.12
10:32:19   183.06   39.41
10:32:20   183.24   39.70
10:32:21   183.42   39.99
10:32:22   183.60   40.28
10:32:23   183.79   40.58
10:32:24   183.98   40.88
10:32:25   184.17   41.18
10:32:26   184.37   41.48
10:32:27   184.57   41.78
10:32:28   184.77   42.09
10:32:29   184.98   42.40
10:32:30   185.19   42.71
10:32:31   185.41   43.03
10:32:32   185.63   43.35
10:32:33   185.85   43.66
10:32:34   186.08   43.99
10:32:35   186.32   44.31
10:32:36   186.55   44.64
10:32:37   186.80   44.96
10:32:38   187.05   45.30
10:32:39   187.30   45.63
10:32:40   187.56   45.96
10:32:41   187.83   46.30
10:32:42   188.10   46.64
10:32:43   188.37   46.98
10:32:44   188.66   47.33
10:32:45   188.95   47.68
10:32:46   189.24   48.03
10:32:47   189.55   48.38
10:32:48   189.86   48.73
10:32:49   190.17   49.09
10:32:50   190.50   49.44
10:32:51   190.83   49.80
10:32:52   191.17   50.16
10:32:53   191.52   50.53
10:32:54   191.88   50.89
