Link2Space track file / LorettOrbital 0.0.4
StationName: l2s
Station Position: 55.397	55.397	130
Satellite: METOP-B
Start date & time: 2022-03-07   16:51:52 UTC
Orbit: 49127
Time(UTC)		Azimuth(d)	Elevation(d) X(m)		Y(m)

16:51:52   151:03   054:59
16:51:53   150:53   055:26
16:51:54   150:43   055:52
16:51:55   150:33   056:19
16:51:56   150:22   056:46
16:51:57   150:11   057:13
16:51:58   150:00   057:41
16:51:59   149:48   058:08
16:52:00   149:36   058:36
16:52:01   149:24   059:04
16:52:02   149:11   059:32
16:52:03   148:57   060:00
16:52:04   148:43   060:29
16:52:05   148:29   060:58
16:52:06   148:14   061:27
16:52:07   147:58   061:56
16:52:08   147:41   062:25
16:52:09   147:24   062:55
16:52:10   147:06   063:25
16:52:11   146:48   063:54
16:52:12   146:28   064:25
16:52:13   146:08   064:55
16:52:14   145:47   065:25
16:52:15   145:25   065:56
16:52:16   145:01   066:26
16:52:17   144:37   066:57
16:52:18   144:11   067:28
16:52:19   143:44   067:59
16:52:20   143:15   068:30
16:52:21   142:45   069:01
16:52:22   142:14   069:33
16:52:23   141:40   070:04
16:52:24   141:05   070:36
16:52:25   140:27   071:07
16:52:26   139:47   071:39
16:52:27   139:05   072:10
16:52:28   138:19   072:42
16:52:29   137:31   073:13
16:52:30   136:40   073:45
16:52:31   135:45   074:16
16:52:32   134:46   074:48
16:52:33   133:42   075:19
16:52:34   132:34   075:50
16:52:35   131:20   076:20
16:52:36   130:01   076:51
16:52:37   128:35   077:21
16:52:38   127:01   077:51
16:52:39   125:20   078:20
16:52:40   123:30   078:48
16:52:41   121:29   079:16
16:52:42   119:18   079:44
16:52:43   116:54   080:10
16:52:44   114:17   080:35
16:52:45   111:26   080:59
16:52:46   108:19   081:22
16:52:47   104:55   081:43
16:52:48   101:14   082:02
16:52:49   097:15   082:19
16:52:50   092:59   082:34
16:52:51   088:27   082:46
16:52:52   083:41   082:55
16:52:53   078:45   083:01
16:52:54   073:41   083:04
16:52:55   068:36   083:04
16:52:56   063:33   083:01
16:52:57   058:38   082:54
16:52:58   053:54   082:44
16:52:59   049:23   082:32
16:53:00   045:09   082:17
16:53:01   041:13   082:00
16:53:02   037:34   081:40
16:53:03   034:12   081:19
16:53:04   031:07   080:56
16:53:05   028:17   080:32
16:53:06   025:42   080:07
16:53:07   023:20   079:41
16:53:08   021:10   079:13
16:53:09   019:11   078:45
16:53:10   017:21   078:17
16:53:11   015:41   077:47
16:53:12   014:08   077:18
16:53:13   012:43   076:48
16:53:14   011:24   076:17
16:53:15   010:11   075:47
16:53:16   009:04   075:16
16:53:17   008:01   074:45
16:53:18   007:02   074:13
16:53:19   006:08   073:42
16:53:20   005:17   073:11
16:53:21   004:29   072:39
16:53:22   003:44   072:08
16:53:23   003:02   071:36
16:53:24   002:22   071:05
16:53:25   001:45   070:33
16:53:26   001:10   070:02
16:53:27   000:36   069:30
16:53:28   000:05   068:59
16:53:29   359:35   068:28
16:53:30   359:07   067:57
16:53:31   358:40   067:26
16:53:32   358:14   066:55
16:53:33   357:50   066:24
16:53:34   357:27   065:54
16:53:35   357:05   065:23
16:53:36   356:43   064:53
16:53:37   356:23   064:23
16:53:38   356:04   063:53
16:53:39   355:45   063:23
16:53:40   355:28   062:54
16:53:41   355:11   062:24
16:53:42   354:54   061:55
16:53:43   354:39   061:26
16:53:44   354:24   060:57
16:53:45   354:09   060:28
16:53:46   353:55   060:00
16:53:47   353:42   059:32
16:53:48   353:29   059:04
16:53:49   353:16   058:36
16:53:50   353:04   058:08
16:53:51   352:53   057:41
16:53:52   352:41   057:13
16:53:53   352:31   056:46
16:53:54   352:20   056:20
16:53:55   352:10   055:53
16:53:56   352:00   055:26
