Link2Space track file / LorettOrbital 0.0.4
StationName: r8s
Station Position: 55.397	55.397	130
Satellite: METOP-C
Start date & time: 2022-03-07   06:12:16 UTC
Orbit: 17278
Time(UTC)		Azimuth(d)	Elevation(d) X(m)		Y(m)

06:12:16   025:17   015:00
06:12:17   025:20   015:06
06:12:18   025:24   015:13
06:12:19   025:28   015:19
06:12:20   025:32   015:26
06:12:21   025:36   015:33
06:12:22   025:39   015:40
06:12:23   025:43   015:47
06:12:24   025:47   015:53
06:12:25   025:51   016:00
06:12:26   025:55   016:07
06:12:27   025:59   016:14
06:12:28   026:03   016:21
06:12:29   026:07   016:28
06:12:30   026:11   016:35
06:12:31   026:16   016:42
06:12:32   026:20   016:50
06:12:33   026:24   016:57
06:12:34   026:28   017:04
06:12:35   026:32   017:11
06:12:36   026:37   017:19
06:12:37   026:41   017:26
06:12:38   026:45   017:33
06:12:39   026:50   017:41
06:12:40   026:54   017:48
06:12:41   026:59   017:56
06:12:42   027:03   018:03
06:12:43   027:08   018:11
06:12:44   027:13   018:18
06:12:45   027:17   018:26
06:12:46   027:22   018:34
06:12:47   027:27   018:41
06:12:48   027:31   018:49
06:12:49   027:36   018:57
06:12:50   027:41   019:05
06:12:51   027:46   019:13
06:12:52   027:51   019:21
06:12:53   027:56   019:29
06:12:54   028:01   019:37
06:12:55   028:06   019:45
06:12:56   028:11   019:53
06:12:57   028:16   020:01
06:12:58   028:21   020:09
06:12:59   028:27   020:17
06:13:00   028:32   020:26
06:13:01   028:37   020:34
06:13:02   028:43   020:43
06:13:03   028:48   020:51
06:13:04   028:54   020:59
06:13:05   028:59   021:08
06:13:06   029:05   021:17
06:13:07   029:10   021:25
06:13:08   029:16   021:34
06:13:09   029:22   021:43
06:13:10   029:28   021:52
06:13:11   029:34   022:00
06:13:12   029:39   022:09
06:13:13   029:45   022:18
06:13:14   029:52   022:27
06:13:15   029:58   022:36
06:13:16   030:04   022:45
06:13:17   030:10   022:55
06:13:18   030:16   023:04
06:13:19   030:23   023:13
06:13:20   030:29   023:22
06:13:21   030:36   023:32
06:13:22   030:42   023:41
06:13:23   030:49   023:51
06:13:24   030:55   024:00
06:13:25   031:02   024:10
06:13:26   031:09   024:20
06:13:27   031:16   024:29
06:13:28   031:23   024:39
06:13:29   031:30   024:49
06:13:30   031:37   024:59
06:13:31   031:44   025:09
06:13:32   031:51   025:19
06:13:33   031:59   025:29
06:13:34   032:06   025:39
06:13:35   032:14   025:50
06:13:36   032:21   026:00
06:13:37   032:29   026:10
06:13:38   032:37   026:21
06:13:39   032:44   026:31
06:13:40   032:52   026:42
06:13:41   033:00   026:52
06:13:42   033:09   027:03
06:13:43   033:17   027:14
06:13:44   033:25   027:25
06:13:45   033:33   027:36
06:13:46   033:42   027:47
06:13:47   033:50   027:58
06:13:48   033:59   028:09
06:13:49   034:08   028:20
06:13:50   034:17   028:31
06:13:51   034:26   028:42
06:13:52   034:35   028:54
06:13:53   034:44   029:05
06:13:54   034:53   029:17
06:13:55   035:03   029:28
06:13:56   035:12   029:40
06:13:57   035:22   029:52
06:13:58   035:32   030:04
06:13:59   035:42   030:16
06:14:00   035:52   030:28
06:14:01   036:02   030:40
06:14:02   036:12   030:52
06:14:03   036:23   031:04
06:14:04   036:33   031:16
06:14:05   036:44   031:29
06:14:06   036:55   031:41
06:14:07   037:06   031:53
06:14:08   037:17   032:06
06:14:09   037:28   032:19
06:14:10   037:40   032:31
06:14:11   037:51   032:44
06:14:12   038:03   032:57
06:14:13   038:15   033:10
06:14:14   038:27   033:23
06:14:15   038:39   033:36
06:14:16   038:51   033:49
06:14:17   039:04   034:03
06:14:18   039:17   034:16
06:14:19   039:30   034:30
06:14:20   039:43   034:43
06:14:21   039:56   034:57
06:14:22   040:09   035:10
06:14:23   040:23   035:24
06:14:24   040:37   035:38
06:14:25   040:51   035:52
06:14:26   041:05   036:06
06:14:27   041:19   036:20
06:14:28   041:34   036:34
06:14:29   041:49   036:48
06:14:30   042:04   037:03
06:14:31   042:19   037:17
06:14:32   042:35   037:31
06:14:33   042:51   037:46
06:14:34   043:07   038:00
06:14:35   043:23   038:15
06:14:36   043:39   038:30
06:14:37   043:56   038:45
06:14:38   044:13   038:59
06:14:39   044:31   039:14
06:14:40   044:48   039:29
06:14:41   045:06   039:45
06:14:42   045:24   040:00
06:14:43   045:42   040:15
06:14:44   046:01   040:30
06:14:45   046:20   040:45
06:14:46   046:39   041:01
06:14:47   046:59   041:16
06:14:48   047:19   041:32
06:14:49   047:39   041:47
06:14:50   048:00   042:03
06:14:51   048:21   042:19
06:14:52   048:42   042:34
06:14:53   049:03   042:50
06:14:54   049:25   043:06
06:14:55   049:48   043:22
06:14:56   050:10   043:38
06:14:57   050:33   043:53
06:14:58   050:57   044:09
06:14:59   051:21   044:25
06:15:00   051:45   044:41
06:15:01   052:10   044:57
06:15:02   052:35   045:13
06:15:03   053:00   045:29
06:15:04   053:26   045:45
06:15:05   053:53   046:01
06:15:06   054:20   046:18
06:15:07   054:47   046:34
06:15:08   055:15   046:50
06:15:09   055:43   047:06
06:15:10   056:12   047:22
06:15:11   056:41   047:38
06:15:12   057:11   047:54
06:15:13   057:41   048:10
06:15:14   058:12   048:25
06:15:15   058:44   048:41
06:15:16   059:15   048:57
06:15:17   059:48   049:13
06:15:18   060:21   049:28
06:15:19   060:55   049:44
06:15:20   061:29   050:00
06:15:21   062:04   050:15
06:15:22   062:39   050:30
06:15:23   063:15   050:46
06:15:24   063:52   051:01
06:15:25   064:29   051:16
06:15:26   065:07   051:31
06:15:27   065:45   051:45
06:15:28   066:24   052:00
06:15:29   067:04   052:14
06:15:30   067:44   052:29
06:15:31   068:25   052:43
06:15:32   069:07   052:57
06:15:33   069:50   053:11
06:15:34   070:33   053:24
06:15:35   071:16   053:38
06:15:36   072:01   053:51
06:15:37   072:46   054:04
06:15:38   073:32   054:16
06:15:39   074:18   054:29
06:15:40   075:05   054:41
06:15:41   075:53   054:53
06:15:42   076:42   055:04
06:15:43   077:31   055:16
06:15:44   078:21   055:27
