Link2Space track file / LorettOrbital 0.0.4
StationName: r8s
Station Position: 55.397	55.397	130
Satellite: NOAA 18
Start date & time: 2022-03-07   05:47:50 UTC
Orbit: 86563
Time(UTC)		Azimuth(d)	Elevation(d) X(m)		Y(m)

05:47:50   055:41   014:59
05:47:51   055:53   015:03
05:47:52   056:05   015:07
05:47:53   056:16   015:10
05:47:54   056:28   015:14
05:47:55   056:40   015:17
05:47:56   056:52   015:21
05:47:57   057:04   015:24
05:47:58   057:16   015:28
05:47:59   057:29   015:31
05:48:00   057:41   015:35
05:48:01   057:53   015:38
05:48:02   058:05   015:42
05:48:03   058:18   015:45
05:48:04   058:30   015:49
05:48:05   058:42   015:52
05:48:06   058:55   015:56
05:48:07   059:07   015:59
05:48:08   059:20   016:02
05:48:09   059:32   016:06
05:48:10   059:45   016:09
05:48:11   059:58   016:12
05:48:12   060:11   016:16
05:48:13   060:23   016:19
05:48:14   060:36   016:22
05:48:15   060:49   016:26
05:48:16   061:02   016:29
05:48:17   061:15   016:32
05:48:18   061:28   016:36
05:48:19   061:41   016:39
05:48:20   061:55   016:42
05:48:21   062:08   016:45
05:48:22   062:21   016:49
05:48:23   062:34   016:52
05:48:24   062:48   016:55
05:48:25   063:01   016:58
05:48:26   063:15   017:01
05:48:27   063:28   017:04
05:48:28   063:42   017:07
05:48:29   063:55   017:10
05:48:30   064:09   017:14
05:48:31   064:23   017:17
05:48:32   064:36   017:20
05:48:33   064:50   017:23
05:48:34   065:04   017:26
05:48:35   065:18   017:29
05:48:36   065:32   017:32
05:48:37   065:46   017:34
05:48:38   066:00   017:37
05:48:39   066:14   017:40
05:48:40   066:28   017:43
05:48:41   066:42   017:46
05:48:42   066:56   017:49
05:48:43   067:10   017:52
05:48:44   067:25   017:54
05:48:45   067:39   017:57
05:48:46   067:54   018:00
05:48:47   068:08   018:03
05:48:48   068:22   018:05
05:48:49   068:37   018:08
05:48:50   068:52   018:11
05:48:51   069:06   018:13
05:48:52   069:21   018:16
05:48:53   069:36   018:19
05:48:54   069:50   018:21
05:48:55   070:05   018:24
05:48:56   070:20   018:26
05:48:57   070:35   018:29
05:48:58   070:50   018:31
05:48:59   071:05   018:33
05:49:00   071:20   018:36
05:49:01   071:35   018:38
05:49:02   071:50   018:41
05:49:03   072:05   018:43
05:49:04   072:20   018:45
05:49:05   072:35   018:47
05:49:06   072:50   018:50
05:49:07   073:06   018:52
05:49:08   073:21   018:54
05:49:09   073:36   018:56
05:49:10   073:52   018:58
05:49:11   074:07   019:00
05:49:12   074:23   019:02
05:49:13   074:38   019:05
05:49:14   074:54   019:07
05:49:15   075:09   019:09
05:49:16   075:25   019:10
05:49:17   075:41   019:12
05:49:18   075:56   019:14
05:49:19   076:12   019:16
05:49:20   076:28   019:18
05:49:21   076:43   019:20
05:49:22   076:59   019:21
05:49:23   077:15   019:23
05:49:24   077:31   019:25
05:49:25   077:47   019:26
05:49:26   078:03   019:28
05:49:27   078:19   019:30
05:49:28   078:35   019:31
05:49:29   078:51   019:33
05:49:30   079:07   019:34
05:49:31   079:23   019:36
05:49:32   079:39   019:37
05:49:33   079:55   019:39
05:49:34   080:11   019:40
05:49:35   080:27   019:41
05:49:36   080:44   019:42
05:49:37   081:00   019:44
05:49:38   081:16   019:45
05:49:39   081:32   019:46
05:49:40   081:49   019:47
05:49:41   082:05   019:48
05:49:42   082:21   019:49
05:49:43   082:38   019:50
05:49:44   082:54   019:51
05:49:45   083:10   019:52
05:49:46   083:27   019:53
05:49:47   083:43   019:54
05:49:48   084:00   019:55
05:49:49   084:16   019:56
05:49:50   084:32   019:57
05:49:51   084:49   019:57
05:49:52   085:05   019:58
05:49:53   085:22   019:59
05:49:54   085:38   019:59
05:49:55   085:55   020:00
05:49:56   086:12   020:00
05:49:57   086:28   020:01
05:49:58   086:45   020:01
05:49:59   087:01   020:02
05:50:00   087:18   020:02
05:50:01   087:34   020:03
05:50:02   087:51   020:03
05:50:03   088:08   020:03
05:50:04   088:24   020:03
05:50:05   088:41   020:04
05:50:06   088:57   020:04
05:50:07   089:14   020:04
05:50:08   089:31   020:04
05:50:09   089:47   020:04
05:50:10   090:04   020:04
05:50:11   090:21   020:04
05:50:12   090:37   020:04
05:50:13   090:54   020:04
05:50:14   091:10   020:04
05:50:15   091:27   020:03
05:50:16   091:44   020:03
05:50:17   092:00   020:03
05:50:18   092:17   020:03
05:50:19   092:33   020:02
05:50:20   092:50   020:02
05:50:21   093:07   020:01
05:50:22   093:23   020:01
05:50:23   093:40   020:00
05:50:24   093:56   020:00
05:50:25   094:13   019:59
05:50:26   094:30   019:59
05:50:27   094:46   019:58
05:50:28   095:03   019:57
05:50:29   095:19   019:57
05:50:30   095:36   019:56
05:50:31   095:52   019:55
05:50:32   096:09   019:54
05:50:33   096:25   019:53
05:50:34   096:41   019:53
05:50:35   096:58   019:52
05:50:36   097:14   019:51
05:50:37   097:31   019:50
05:50:38   097:47   019:49
05:50:39   098:03   019:47
05:50:40   098:20   019:46
05:50:41   098:36   019:45
05:50:42   098:52   019:44
05:50:43   099:09   019:43
05:50:44   099:25   019:41
05:50:45   099:41   019:40
05:50:46   099:57   019:39
05:50:47   100:13   019:37
05:50:48   100:30   019:36
05:50:49   100:46   019:35
05:50:50   101:02   019:33
05:50:51   101:18   019:32
05:50:52   101:34   019:30
05:50:53   101:50   019:28
05:50:54   102:06   019:27
05:50:55   102:22   019:25
05:50:56   102:38   019:23
05:50:57   102:54   019:22
05:50:58   103:10   019:20
05:50:59   103:26   019:18
05:51:00   103:41   019:16
05:51:01   103:57   019:14
05:51:02   104:13   019:13
05:51:03   104:29   019:11
05:51:04   104:44   019:09
05:51:05   105:00   019:07
05:51:06   105:16   019:05
05:51:07   105:31   019:03
05:51:08   105:47   019:01
05:51:09   106:02   018:59
05:51:10   106:18   018:56
05:51:11   106:33   018:54
05:51:12   106:49   018:52
05:51:13   107:04   018:50
05:51:14   107:19   018:48
05:51:15   107:35   018:45
05:51:16   107:50   018:43
05:51:17   108:05   018:41
05:51:18   108:20   018:38
05:51:19   108:35   018:36
05:51:20   108:50   018:33
05:51:21   109:05   018:31
05:51:22   109:20   018:29
05:51:23   109:35   018:26
05:51:24   109:50   018:24
05:51:25   110:05   018:21
05:51:26   110:20   018:18
05:51:27   110:35   018:16
05:51:28   110:50   018:13
05:51:29   111:04   018:11
05:51:30   111:19   018:08
05:51:31   111:34   018:05
05:51:32   111:48   018:02
05:51:33   112:03   018:00
05:51:34   112:17   017:57
05:51:35   112:32   017:54
05:51:36   112:46   017:51
05:51:37   113:01   017:49
05:51:38   113:15   017:46
05:51:39   113:29   017:43
05:51:40   113:43   017:40
05:51:41   113:58   017:37
05:51:42   114:12   017:34
05:51:43   114:26   017:31
05:51:44   114:40   017:28
05:51:45   114:54   017:25
05:51:46   115:08   017:22
05:51:47   115:22   017:19
05:51:48   115:35   017:16
05:51:49   115:49   017:13
05:51:50   116:03   017:10
05:51:51   116:17   017:07
05:51:52   116:30   017:04
05:51:53   116:44   017:00
05:51:54   116:58   016:57
05:51:55   117:11   016:54
05:51:56   117:25   016:51
05:51:57   117:38   016:48
05:51:58   117:51   016:44
05:51:59   118:05   016:41
05:52:00   118:18   016:38
05:52:01   118:31   016:35
05:52:02   118:44   016:31
05:52:03   118:57   016:28
05:52:04   119:10   016:25
05:52:05   119:24   016:21
05:52:06   119:36   016:18
05:52:07   119:49   016:15
05:52:08   120:02   016:11
05:52:09   120:15   016:08
05:52:10   120:28   016:04
05:52:11   120:41   016:01
05:52:12   120:53   015:57
05:52:13   121:06   015:54
05:52:14   121:19   015:51
05:52:15   121:31   015:47
05:52:16   121:44   015:44
05:52:17   121:56   015:40
05:52:18   122:08   015:37
05:52:19   122:21   015:33
05:52:20   122:33   015:30
05:52:21   122:45   015:26
05:52:22   122:57   015:22
05:52:23   123:09   015:19
05:52:24   123:22   015:15
05:52:25   123:34   015:12
05:52:26   123:46   015:08
05:52:27   123:58   015:05
